taxlevel	rankID	taxon	daughterlevels	total	F298	F307	F308	LGT_02262	LGT_02338	LGT_02339	LGT_02422	LGT_02424	LGT_02770	LGT_926	f102	f103	f104	f106	f114	f118	f122	f123	f124	f125	f132	f14_00499	f14_128_fecal	f14_235_fecal	f14_236_fecal	f14_245_fecal	f14_248_fecal	f14_276_fecal	f14_277_fecal	f14_286_fecal	f14_291_fecal	f14_292_fecal	f14_293_fecal	f14_299_fecal	f14_300_fecal	f14_301_fecal	f14_303_fecal	f14_305_fecal	f14_309_fecal	f14_310_fecal	f14_313_fecal	f14_390	f14_392	f14_399	f14_400	f14_403	f14_404	f14_409	f14_419	f14_420	f14_421	f14_430	f14_433	f14_437	f14_448	f14_449	f14_452	f14_459	f14_460	f14_462	f14_466	f14_468	f14_470	f14_472	f14_473	f14_475	f14_478	f14_479	f14_480	f14_481	f14_482	f14_483	f14_491	f14_492	f14_494	f14_495	f14_496	f14_509	f14_511	f14_512	f14_515	f14_546	f14_547	f14_551	f14_559	f14_560	f157	f165	f168	f169	f172	f174	f176	f177	f178	f180	f181	f183	f184	f185	f187	f191	f197	f198	f219	f220	f221	f223	f230	f233	f28	f30	f34	f35	f38	f43	f44	f50	f51	f55	f58	f60	f62	f63	f64	f66	f68	f69	f70	f71	f72	f73	f74	f75	f77	f89	f91	f95	f97	s14_00592	s14_00593	s14_00594	s14_315	s14_318	s14_321	s14_322	s14_326	s14_327	s14_329	s14_332	s14_338	s14_339	s14_348	s14_350	s14_357	s14_359	s14_360	s14_361	s14_362	s14_363	s14_367	s14_368	s14_376
0	0	Root	3	60343832	31406	28069	33860	22725	31186	38157	24574	18611	21602	29227	30491	23632	17405	35788	17900	15622	22942	31973	12138	20376	17507	20486	10421	20832	22562	16719	13150	16962	23281	14726	13072	14040	30148	10703	16634	22526	22961	20418	21469	26725	8619	21702	19042	22505	18543	15748	18934	25957	24543	22730	28326	26137	23135	21524	18480	19657	11161	20968	31707	34308	31877	33249	34581	14889	29205	25164	31612	32905	20985	32877	21466	34327	31837	33207	39549	36892	27914	40058	49519	56603	55693	13664	20786	39978	29990	26392	30336	34241	24814	14945	46211	17995	14269	22274	13228	27083	14768	17015	32438	37949	20053	14492	29059	17079	28915	29139	28660	13714	31754	10842	31133	36920	32071	17811	25201	29386	28591	27966	19498	23304	13229	22948	23307	22442	25256	30582	26662	17301	26056	32811	24840	22551	42315	18888	16721	35387	30357	12499	21921	15575	21290	16004	17340	17835	23900	23565	18713	28000	34972	22881	16045	27420	34212	17695	26396	22684	29547	23920	19571	15888	22561	15745	15541
1	0.1	Archaea	3	531297	530	553	0	48	0	0	0	945	375	0	1	2709	1344	0	0	69	673	0	463	0	0	0	0	0	0	0	2	2164	511	7	46	1709	64	2701	0	428	0	673	242	0	0	168	0	36	0	355	0	72	23	0	13	0	454	8	95	0	1	683	1857	1	0	0	282	0	28	0	1241	725	0	47	339	0	544	4	3	3	470	0	94	1003	1952	1157	0	828	0	57	1	1940	5	1251	4	636	0	5	641	3	0	7	0	0	0	4182	0	0	1420	0	0	0	0	0	0	3447	5	8	963	24	0	0	1	0	1	4457	0	0	1	3404	2247	12	58	2756	1709	145	7357	0	2	2494	9265	7	3657	5	978	0	9	109	1	0	12	0	0	0	13	111	385	0	48	2	2	0	0	13	0	0	0
2	0.1.2	Euryarchaeota	5	530859	530	553	0	48	0	0	0	945	375	0	1	2709	1344	0	0	69	673	0	463	0	0	0	0	0	0	0	2	2164	511	7	46	1709	64	2701	0	428	0	673	0	0	0	168	0	36	0	355	0	72	23	0	13	0	454	8	95	0	1	683	1857	1	0	0	282	0	28	0	1241	725	0	47	339	0	544	4	3	3	470	0	94	1003	1952	1157	0	828	0	57	1	1940	5	1251	4	636	0	5	641	3	0	7	0	0	0	4182	0	0	1420	0	0	0	0	0	0	3447	5	8	963	24	0	0	1	0	1	4457	0	0	1	3404	2247	12	58	2756	1709	145	7357	0	2	2494	9265	7	3657	5	978	0	7	109	1	0	6	0	0	0	13	111	385	0	48	2	2	0	0	13	0	0	0
3	0.1.2.1	Euryarchaeota_unclassified	1	473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0.1.2.1.1	Euryarchaeota_unclassified	1	473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.1.2.1.1.1	Euryarchaeota_unclassified	1	473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0.1.2.1.1.1.1	Euryarchaeota_unclassified	0	473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0.1.2.2	Halobacteria	1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0.1.2.2.1	Halobacteriales	1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.1.2.2.1.1	Halobacteriaceae	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
