OTU	Size	Taxonomy	taxname	phylum
Otu000001	4771662	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Enterococcaceae(100);Enterococcus(100);	Otu000001_Enterococcus	Firmicutes
Otu000002	4317463	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Escherichia/Shigella(100);	Otu000002_Escherichia	Proteobacteria
Otu000003	3247821	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);	Otu000003_Enterobacteriaceae	Proteobacteria
Otu000004	2959688	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);	Otu000004_Bacteroides	Bacteroidetes
Otu000005	2328062	Bacteria(100);Verrucomicrobia(100);Verrucomicrobiae(100);Verrucomicrobiales(100);Verrucomicrobiaceae(100);Akkermansia(100);	Otu000005_Akkermansia	Verrucomicrobia
Otu000006	1385035	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Parabacteroides(100);	Otu000006_Parabacteroides	Bacteroidetes
Otu000007	1335082	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Rikenellaceae(100);Alistipes(100);	Otu000007_Alistipes	Bacteroidetes
Otu000008	1166900	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Proteus(100);	Otu000008_Proteus	Proteobacteria
Otu000009	1022936	Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Acidaminococcus(100);	Otu000009_Acidaminococcus	Firmicutes
Otu000010	1019296	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);	Otu000010_Bacteroides	Bacteroidetes
Otu000011	1001989	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100);	Otu000011_Prevotella	Bacteroidetes
Otu000012	829491	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Parabacteroides(100);	Otu000012_Parabacteroides	Bacteroidetes
Otu000013	814487	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);	Otu000013_Bacteroides	Bacteroidetes
Otu000014	777339	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Pseudomonadaceae(100);Pseudomonas(100);	Otu000014_Pseudomonas	Proteobacteria
