	Otu000001	Otu000002	Otu000003	Otu000004	Otu000005	Otu000006	Otu000007	Otu000008	Otu000009	Otu000010	Otu000011	Otu000012	Otu000013	Otu000014	Otu000015	Otu000016	Otu000017	Otu000018	Otu000019	Otu000020	Otu000021	Otu000022	Otu000023	Otu000024	Otu000025	Otu000026	Otu000027	Otu000028	Otu000029	Otu000030	Otu000031	Otu000032	Otu000033	Otu000034	Otu000035	Otu000036	Otu000037	Otu000038	Otu000039	Otu000040	Otu000041	Otu000042	Otu000043	Otu000044	Otu000045	Otu000046	Otu000048	Otu000049	Otu000050	Otu000051	Otu000052	Otu000053	Otu000054	Otu000055	Otu000056	Otu000057	Otu000058	Otu000059	Otu000060	Otu000061	Otu000062	Otu000063	Otu000064	Otu000065	Otu000066	Otu000067	Otu000068	Otu000069	Otu000070	Otu000071	Otu000072	Otu000073	Otu000074	Otu000075	Otu000076	Otu000077	Otu000078	Otu000079	Otu000080	Otu000081	Otu000082	Otu000083	Otu000084	Otu000085	Otu000086	Otu000087	Otu000088	Otu000089	Otu000090	Otu000091	Otu000092	Otu000093	Otu000094	Otu000095	Otu000096	Otu000097	Otu000098	Otu000099	Otu000100	Otu000101	Otu000102	Otu000103	Otu000104	Otu000105	Otu000106	Otu000108	Otu000109	Otu000110	Otu000111	Otu000112	Otu000113	Otu000114	Otu000115	Otu000116	Otu000117	Otu000118	Otu000119	Otu000120	Otu000121	Otu000122	Otu000123	Otu000124	Otu000125	Otu000126	Otu000127	Otu000128	Otu000129	Otu000130	Otu000131	Otu000132	Otu000134	Otu000135	Otu000136	Otu000137	Otu000139	Otu000140	Otu000141	Otu000142	Otu000143	Otu000144	Otu000145	Otu000146	Otu000149	Otu000150	Otu000151	Otu000153	Otu000154	Otu000155	Otu000156	Otu000157	Otu000158	Otu000159	Otu000160	Otu000161	Otu000162	Otu000163	Otu000166	Otu000167	Otu000168	Otu000169	Otu000170	Otu000171	Otu000172	Otu000174	Otu000175	Otu000176	Otu000177	Otu000178	Otu000179	Otu000180	Otu000182	Otu000183	Otu000184	Otu000185	Otu000187	Otu000188	Otu000191	Otu000192	Otu000193	Otu000194	Otu000195	Otu000196	Otu000197	Otu000200	Otu000201	Otu000202	Otu000204	Otu000205	Otu000207	Otu000208	Otu000214	Otu000215	Otu000216	Otu000217	Otu000220	Otu000222	Otu000223	Otu000226	Otu000229	Otu000230	Otu000231	Otu000233	Otu000238	Otu000241	Otu000244	Otu000245	Otu000246	Otu000247	Otu000248	Otu000250	Otu000251	Otu000252	Otu000253	Otu000254	Otu000255	Otu000256	Otu000257	Otu000258	Otu000261	Otu000262	Otu000263	Otu000265	Otu000268	Otu000269	Otu000274	Otu000275	Otu000276	Otu000278	Otu000280	Otu000284	Otu000285	Otu000288	Otu000290	Otu000291	Otu000294	Otu000295	Otu000296	Otu000297	Otu000298	Otu000301	Otu000302	Otu000303	Otu000304	Otu000307	Otu000308	Otu000310	Otu000312	Otu000315	Otu000319	Otu000326	Otu000329	Otu000332	Otu000334	Otu000342	Otu000344	Otu000345	Otu000347	Otu000349	Otu000350	Otu000353	Otu000359	Otu000362	Otu000366	Otu000368	Otu000369	Otu000371	Otu000377	Otu000378	Otu000381	Otu000384	Otu000394	Otu000395	Otu000399	Otu000404	Otu000405	Otu000418	Otu000420	Otu000422	Otu000426	Otu000430	Otu000431	Otu000438	Otu000441	Otu000446	Otu000450	Otu000452	Otu000459	Otu000466	Otu000470	Otu000483	Otu000486	Otu000500	Otu000502	Otu000511	Otu000516	Otu000519	Otu000556	Otu000560	Otu000610	Otu000620	Otu000652	Otu001005	rareOTUs1006
F298	0.00426670063045278	0.00321594599758008	0.000732344138062791	0.105362032732599	9.55231484429727e-05	0.00474431637266764	0.23298095905241	0	0	0	6.36820989619818e-05	0.00394829013564287	3.18410494809909e-05	0.00308858179965612	0.12822390625995	0	0	0	0	6.36820989619818e-05	0	0	0.0823409539578425	0	0	0.0167802330764822	0	0.0289753550277017	9.55231484429727e-05	0.0270330510093613	0.0135961281283831	0.0877539323696109	0	3.18410494809909e-05	0	0.000254728395847927	0.000159205247404954	0.000318410494809909	0.000318410494809909	0.010380182130803	0	0.000191046296885945	0	0	6.36820989619818e-05	0	0.00913838120104439	0	0	0	0.00254728395847927	0	0	0.000286569445328918	0.000286569445328918	0.000382092593771891	0.00611348150035025	0.0066547793415271	0.00226071451315035	0	0.000955231484429727	0	0	0	0	0	3.18410494809909e-05	0	0.000955231484429727	0	0	0	0.00783289817232376	0	0	0	0	0	0.00783289817232376	0.000636820989619818	0	0	9.55231484429727e-05	0.00146468827612558	0	0	0	6.36820989619818e-05	0.00257912500796026	0	3.18410494809909e-05	6.36820989619818e-05	0	0.0017512577214545	0	0	0	0	0	0.00156021142456855	0	0	0	0	0	0.0403426096924155	0	0.0122269630007005	0	0	0	0	0	0	0.000764185187543781	0.00143284722664459	0	0	0.000477615742214863	0	0	0	0	0.000159205247404954	0	0	0	0.000191046296885945	0	0	0	0	9.55231484429727e-05	0	0	0.000127364197923964	0	9.55231484429727e-05	0	0	0.000286569445328918	0.0158250015920525	0	0.00442590587785773	0.000636820989619818	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0250907469910208	0.00146468827612558	0	0	0	0.00165573457301153	0	0	0	0.0267464815640324	0	0	0	0	0	0	0.00410749538304783	0	0	0	0	0	0	0	0	0.000254728395847927	0	6.36820989619818e-05	0	0	0.00117811883079666	0	6.36820989619818e-05	0	0	0	0.000159205247404954	0.00277017130484621	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00124180092975864	0	0	3.18410494809909e-05	0	0	0.00292937655225116	0	0.00203782716678342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00493536266955359	0	0	0	0	3.18410494809909e-05	0.00308858179965612	0	0	0	0	0.000604979940138827	0	0	0	0	0	0	0	0.000222887346366936	0	0	0	0	0	0	0.0185633318474177	0	0	0	0	0	0.000127364197923964	0	0	0	0	0.000668662039100809	0	0	0	0	6.36820989619818e-05	0	0	0	0	0	0	0	0	0.000159205247404954	0	0	0	0	0	0	0	9.55231484429727e-05	0	0	0	0	0	0.000254728395847927	0	0	0.0156657963446475
F307	0.031351312836225	3.56264918593466e-05	0	0.00010687947557804	0.415547401047419	0.0986497559585308	0	0	0	0	0	0	0	0	3.56264918593466e-05	0	0	0	0	7.12529837186932e-05	0.000605650361608892	0	0	0	3.56264918593466e-05	0.0195945705226406	0.0344864441198475	0	0.00142505967437386	0.208557483344615	0.0010687947557804	0.00363390216965335	0.000855035804624319	0	0.000534397377890199	0	0	3.56264918593466e-05	0.0010687947557804	0	3.56264918593466e-05	7.12529837186932e-05	0	0	0	0	0.00459581744985571	0	0	0	0.0288574584060708	0	7.12529837186932e-05	0	0	0.00434643200684029	0	0.00502333535216787	0.00203071003598276	0.00484520289287114	0	0	0.00021375895115608	0	0.000320638426734119	0	0	0.000997541772061705	0	0	0	0	0.00135380669065517	0	0.00281449285688838	0	0	0.000320638426734119	0	0	0	0	0	0	0.000178132459296733	0.0073390573230254	3.56264918593466e-05	0.00174569810110798	0.00263636039759165	0	0	0	0	0	0	0.00010687947557804	0	0	0	0.000285011934874773	0	0	0	0	0	0	0	0	0	0	0	0	0.01254052513449	0.000249385443015426	0.000997541772061705	0.00149631265809256	0	0	0.00199508354412341	0	0.00149631265809256	0.00114004773949909	0.00103316826392105	0	0	0	0	0	0	0	0	0	3.56264918593466e-05	0	0	0	0.00281449285688838	3.56264918593466e-05	7.12529837186932e-05	0	0	7.12529837186932e-05	0	0	0.000641276853468239	0	0	7.12529837186932e-05	0	0.00010687947557804	0.00010687947557804	0	0.000498770886030853	0	0	0	0	0.00623463607538566	0	0.00477394990915245	0	0	0	0	0	0	0.00010687947557804	0	0	0	0	0.000142505967437386	0	0	0	0	0.000498770886030853	0	0.00021375895115608	0	0.00773094873347821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.12529837186932e-05	7.12529837186932e-05	0.00231572197085753	0	0	0.000463144394171506	0	0	0.000819409312764972	0	0	0	0	0	0	0	0	0	0	0	0	3.56264918593466e-05	0.00883536998111796	7.12529837186932e-05	0	0	0	0	0	0	0.000498770886030853	0	0.000890662296483665	0	0	0	0	0	0	0	0	0	0.00021375895115608	0.00456019095799637	0	0.000391891410452813	0	0	0.000997541772061705	0	0	0	0.00146068616623321	0.0036695286615127	0	0	0	0	0	0	0	0	0	0	0	0	0.00730343083116605	0	0	0.000142505967437386	3.56264918593466e-05	0	0	0	0.00277886636502904	0	0	0	0	0	0.000498770886030853	0	0	0	0.0016031921336706	0	0	0.000570023869749546	0	0	0	0	0	0	0	0	0	0	0.00010687947557804	0	0.000142505967437386	0	0.000142505967437386	0.00374078164523139	0	0	0.0265417364352132
F308	0.0286769049025399	0.00141760189013585	0.00171293561724749	0.00132900177200236	0.0574719432959244	8.86001181334908e-05	0.00643827525103367	0.00475487300649734	0.000147666863555818	0.000915534554046072	0	0.000147666863555818	0	0.878913171884229	8.86001181334908e-05	0	0.00103366804489073	0	0	0	0	0	0	0	0	0	2.95333727111636e-05	0	0	0.00251033668044891	0	0.000118133490844654	0	0	0	0.00289427052569403	0	0.000531600708800945	5.90667454223272e-05	0	5.90667454223272e-05	5.90667454223272e-05	0	0	0	0	0	0	0	0	0	0.000265800354400473	0	0.000236266981689309	0	0	0	0	0	0	2.95333727111636e-05	0	0	0	0	0	0	0	0	0	0.00165386887182516	0	0.000118133490844654	0	0.000118133490844654	0	0.000118133490844654	0	0	0	0	0	0	0.000295333727111636	0	0	0	0	0	0.000118133490844654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000118133490844654	0	0	0	0	0	0	0	0	0	0	0	8.86001181334908e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.90667454223272e-05	0	0	0	0.00144713526284702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000679267572356763	0	0	2.95333727111636e-05	0	0	0	0	0	0	0	0	0	0.000147666863555818	0	0	0	0	0	0	0	0	2.95333727111636e-05	0	0	2.95333727111636e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00502067336089781
LGT_02262	0.00484048404840484	0.056017601760176	0.00211221122112211	0.00492849284928493	0.339009900990099	0.0227062706270627	0.00677667766776678	0.00396039603960396	0.00466446644664466	0.000264026402640264	0	0.00994499449944995	0.0062046204620462	0	0.0106490649064906	0.00193619361936194	0	0	0	0	0.000308030803080308	0.183718371837184	0.00176017601760176	0.0084048404840484	0	0.00211221122112211	0	0	0.0151815181518152	0.000264026402640264	0.00206820682068207	0.00105610561056106	0.000308030803080308	0	0.0018041804180418	0	0.00066006600660066	0.000132013201320132	0	0.00409240924092409	0.00066006600660066	0.0144334433443344	0.0135533553355336	0.0066006600660066	4.4004400440044e-05	0.00378437843784378	0	4.4004400440044e-05	0	0	0.00022002200220022	0	0.00066006600660066	0.0047964796479648	0	8.8008800880088e-05	0.00140814081408141	4.4004400440044e-05	0	0	0.00233223322332233	0	0	0	0.0018041804180418	0	0.00022002200220022	8.8008800880088e-05	0.00189218921892189	0.017997799779978	0	0.0101650165016502	0.0011001100110011	0.0765236523652365	0	0	0	0.0170737073707371	0.00272827282728273	0	0.00154015401540154	0	0	4.4004400440044e-05	0	0.00044004400440044	0.00066006600660066	0	0	0.0044004400440044	0	4.4004400440044e-05	0	0.00616061606160616	0.000924092409240924	0	4.4004400440044e-05	8.8008800880088e-05	4.4004400440044e-05	0.0011001100110011	0	0.00022002200220022	0	0	0	0	0.00598459845984598	0.000132013201320132	0	0	0.00145214521452145	0.000132013201320132	0	0	0	0	4.4004400440044e-05	0.00312431243124312	8.8008800880088e-05	0	0	0	0	0	0	0	0	0	0	0	8.8008800880088e-05	0	0	0.00022002200220022	0.000264026402640264	4.4004400440044e-05	0	0	0	0	0	0	0	0	0.000132013201320132	0	0	0	0	8.8008800880088e-05	8.8008800880088e-05	0	0.000836083608360836	0	0	0	0	0	0	0.000132013201320132	0	0.000308030803080308	0.0187458745874587	0	0	0.0146094609460946	0	0	0	0	0	0	0	0.00171617161716172	0	0.00145214521452145	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0011001100110011	0	0.00545654565456546	0	0.000176017601760176	0.000924092409240924	4.4004400440044e-05	0.000264026402640264	0	0	0	0	8.8008800880088e-05	0.000264026402640264	0	0	0	4.4004400440044e-05	0.00022002200220022	0	0.000484048404840484	0	0.00066006600660066	0	0	0	0	0	0	0	0	0.00022002200220022	0	0	0	0.000792079207920792	0	4.4004400440044e-05	4.4004400440044e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00022002200220022	0.000264026402640264	0	0	0	4.4004400440044e-05	0	8.8008800880088e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000616061606160616	0.000132013201320132	0	0.000572057205720572	0	0	0	0	0	0	0	0	0	0	0	0	0.000616061606160616	0	0	0.00506050605060506	0	0.000176017601760176	0	0	0	0	0	0	0	0	4.4004400440044e-05	0	0	0	0	0	0	0.0418041804180418
LGT_02339	7.86225332180203e-05	2.62075110726734e-05	0	0.0922242314647378	0.000681395287889509	0.00697119794533113	0.00484838954844458	2.62075110726734e-05	0.0171659197526011	0.000262075110726734	0	0.0162486568650575	2.62075110726734e-05	0	0.00254212857404932	0	0	0	0	0	0.0406216421626438	0	0	0.013077548025264	0.00172969573079645	0	0.00228005346332259	0	0.00626359514636895	0.00204418586366853	5.24150221453469e-05	0.000183452577508714	0	0	0.0251854181408392	0	0.000131037555363367	0.00558219985847944	5.24150221453469e-05	0	0	0.0193149356605603	0.00932987394187174	0.0242943627643683	0	0.002568336085122	0.000497942710380795	0.180910448934665	0	0.00264695861834002	0.0308724480436093	0.000340697643944755	0.00083864035432555	0	0.000104830044290694	0	0.00843881856540084	0.00091726288754357	5.24150221453469e-05	2.62075110726734e-05	0.0351966873706004	0.0670388133238986	0.0170348821972377	0	0.000235867599654061	0	0.000628980265744162	0	0	0	0	0.000209660088581387	0.000366905155017428	0	0.000550357732526142	0	0.00361663652802893	0	0	0.000393112666090101	0.00476976701522656	0	0.00689257541211311	5.24150221453469e-05	0.0134444531802815	0.000314490132872081	7.86225332180203e-05	0.00432423932699112	0.000157245066436041	0	0.00600152003564221	0	0	7.86225332180203e-05	0	0.000157245066436041	0	0	0.000681395287889509	0.0122127001598658	0	0	0	0	0	7.86225332180203e-05	0	0.0107450795397961	0.0245826453861677	0	0	0	0.0011793379982703	2.62075110726734e-05	0	0	0	0	5.24150221453469e-05	0	0	0	0	0	0	2.62075110726734e-05	0	0	0	0	0.000104830044290694	0.00290903372906675	0.00272558115155804	2.62075110726734e-05	0	0.00138899808685169	5.24150221453469e-05	0.000681395287889509	0.000209660088581387	0	0	7.86225332180203e-05	0	0	0.000943470398616243	0	5.24150221453469e-05	0	0	0.000760017821107529	0	0.0192887281494876	0	0	0	0	0	0.000209660088581387	2.62075110726734e-05	0.000262075110726734	0	2.62075110726734e-05	0	2.62075110726734e-05	0.000419320177162775	0	2.62075110726734e-05	0	0	0	0	0	2.62075110726734e-05	2.62075110726734e-05	0.00615876510207826	0	0.00474355950415389	0.000393112666090101	0	0.00476976701522656	0	0	0	0.00172969573079645	0	5.24150221453469e-05	0	0	0	0	0	0	0	5.24150221453469e-05	0	0	0.00322352386193883	0.000104830044290694	0	0	0	0	0	0.00269937364048536	0.000366905155017428	2.62075110726734e-05	0	0	0	0	0	0	0	0.00288282621799408	0	0	0	0	0.000628980265744162	0	0	0.00269937364048536	0	0	0	0	0	0	0	0.000655187776816836	0	0	0	0	2.62075110726734e-05	0	0.00196556333045051	0.00314490132872081	0	0	0	0.00508425714809865	0	0	0	0	0	0	0	0	0	0	0	2.62075110726734e-05	0	0	0	2.62075110726734e-05	0.00141520559792437	0.00306627879550279	0	0	0	0	0.00505804963702597	0	0.000288282621799408	0	0	0.00432423932699112	0.000288282621799408	0	0	2.62075110726734e-05	0	0.000157245066436041	0	0	0.000262075110726734	0	0	0	0	0.0016772807086511	0	0	5.24150221453469e-05	0	0	0	0	2.62075110726734e-05	2.62075110726734e-05	0.00099588542076159	0	0	0	0.000235867599654061	0	0	0	0	0.17978352595854
LGT_02422	0.0120859444941808	4.06934158053227e-05	0.659599576788476	0.000162773663221291	0	0.000122080247415968	8.13868316106454e-05	0.000529014405469195	0	4.06934158053227e-05	0	0	4.06934158053227e-05	0	4.06934158053227e-05	8.13868316106454e-05	0	0	0.308211931309514	4.06934158053227e-05	0.00256368519573533	0	0	0	0	0	0	0	4.06934158053227e-05	0	0.000122080247415968	0	0	0	0.00846423048750712	0	0	0	0	0.000162773663221291	0	0	0	4.06934158053227e-05	0	0	0	0	0	0.00313339301700985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.06934158053227e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00118010905835436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00317408643281517
LGT_02424	0.173230884960507	0.00112836494546236	0.0750094030412122	0	0.0239643221750578	0.0989737252162699	0.0108000644779969	0.000268658320348181	0.000376121648487454	0.00042985331255709	0	0	0.000376121648487454	0	0.000161194992208909	0	0.000376121648487454	0.00472838643812799	0	0	0	0	0.295954005695556	0.000752243296974907	0	0.0349793133093332	0	0.00435226478964054	0.000107463328139272	0.00333136317231745	0.0198807157057654	0.00042985331255709	0	0.000214926656278545	0	0	0	0.000537316640696362	0.00279404653162108	0	0.000591048304765999	0	0	5.37316640696362e-05	0	0	0.00145075492988018	0	0	0	0.000376121648487454	0.000322389984417817	0	0	0.000107463328139272	0	0	0	0	0	0	0	0	0	0	0	0.000322389984417817	0.000161194992208909	5.37316640696362e-05	0.0110687227983451	5.37316640696362e-05	0	0.00123582827360163	0	0	0	0.000268658320348181	0.00123582827360163	0.00123582827360163	0	0	0.001773144914298	0.000591048304765999	0	0	0.00188060824243727	5.37316640696362e-05	0.000913438289183816	0.000483584976626726	0.00241792488313363	0	0	0	0	0.000322389984417817	0	0	0	0	0	0	0	0	0	0.00220299822685509	0	0.0312718284885283	0	0.000161194992208909	0	0.00413733813336199	0.000805974961044544	0	0	0.000214926656278545	0.00107463328139272	0.000537316640696362	0	5.37316640696362e-05	0	0	0	0	0	0.000161194992208909	0	0.0531943474289399	0	0	0	0	0.000107463328139272	0	0.000805974961044544	0	0	0.000214926656278545	0	0	0	0	0	5.37316640696362e-05	0	0.000268658320348181	0	0	0	0	0.001773144914298	0	0.000107463328139272	0.000698511632905271	0	0	0	0.000107463328139272	5.37316640696362e-05	0	5.37316640696362e-05	0.000698511632905271	0.000107463328139272	0.00445972811777981	0	0	0	0.000268658320348181	0	0	0	0	0	0.000214926656278545	0.000161194992208909	0	0	5.37316640696362e-05	0	0	0	0.000107463328139272	0	0	0.000322389984417817	0.00085970662511418	0	5.37316640696362e-05	0	0.000322389984417817	0.00107463328139272	0	0	0.00161194992208909	0	0	0.000161194992208909	0	0	5.37316640696362e-05	0.000268658320348181	0	0.00155821825801945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000214926656278545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000376121648487454	0	0	0	0	0.000107463328139272	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00730750631347053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00257911987534254	0.000161194992208909	0	5.37316640696362e-05	0.000752243296974907	0	0	0.000967169953253452	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0969319219816238
LGT_02770	0.0491158226090177	9.25840199981483e-05	0	4.62920099990742e-05	0	9.25840199981483e-05	0	4.62920099990742e-05	0	4.62920099990742e-05	0	0	0	0.00166651235996667	0	0	0	0	0	0	0.000416628089991667	0	0	0.049300990649014	0	0.0172206277196556	0	0	0	0.0704101472085918	0	0.08550134246829	0	0	0.0043051569299139	4.62920099990742e-05	0	0	0	0	0.0103231182297935	0	0	0	0	0	0	0	0	0	0	0	0	4.62920099990742e-05	0	0	0	0	0	0	0	0	0.0028701046199426	0	0.000138876029997222	0	0	0	0	0	0	0	9.25840199981483e-05	4.62920099990742e-05	0	0	0	0	0	0	0	0	0	0	0	4.62920099990742e-05	0	0	0	0.091102675678178	0	0	0.0981390611980372	0	0	0	0	0	0	0	0	0	9.25840199981483e-05	0	0	0	0.0683270067586335	0	0	0.0568928802888621	0.0303212665493936	0	0.000370336079992593	0	0	0	0	0	0	0	0	0	0.00865660586982687	0.0463845940190723	0	0	0	4.62920099990742e-05	0	0	0	0	0	0	0	0	0.00439774094991205	0	0	0.000370336079992593	0	0	0	0.029349134339413	0.00055550411998889	0	0	0	0	0	0	0	0	0	0.00398111285992038	0	0	0	0	0	0	0	0.0157392833996852	0	0.00171280436996574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.62920099990742e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0152300712896954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.62920099990742e-05	0	0	0	0	0	0	0	0	0	0.0219887047495602	0.00629571335987409	0	0	0	0	0	0.0108323303397834	0	0	0	0	0	0	0	0	0.00546245717989075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00115730024997685	0	0	0	0	0.00337931672993241	0	0	0	0	0	0	0	0	0.000786964169984261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.186464216276271
LGT_926	0.254114346323605	0.000376364320662401	0.000273719505936292	0.0954254627570397	0	0.359701645738529	0.000444794197146474	0.000102644814726109	0	0.0294932767646354	0.0069456324631334	0.0351387415745715	0	0	0	0	0	0	0	0	0	0.0100591918431587	0.00348992370068772	0	0.00896431381941356	0	0	0	0	3.42149382420365e-05	3.42149382420365e-05	0.00766414616621617	0	0	0	0.0369521333013994	0.000136859752968146	0.000786943579566839	0.0346597324391829	0	0	0.000342149382420365	0.000136859752968146	0.0181681322065214	0	0	0	0	0	0.0216580559072091	3.42149382420365e-05	0	0.000718513703082766	0.000171074691210182	0.000923803332534985	0	0	0.000547439011872584	0	0	0	0.000205289629452219	0	0	0	0.00444794197146474	0.0239162418311835	0	0.000102644814726109	0.000376364320662401	0	0	0.000273719505936292	0	0	0	0	0	0.00153967222089164	0	0.000205289629452219	0	0	0	0	0	3.42149382420365e-05	0.000239504567694255	0	0.000171074691210182	0	0	0	0	0	0	0	0	0.00232661580045848	0	0	0	0	0.0119410134464707	0	0	0	0.000444794197146474	0	0	0	0	0	0	0.00348992370068772	0	6.84298764840729e-05	0.000650083826598693	0	0	0	0	0	0	0	0.000136859752968146	0	0	0	0	0	0	0	0	0	0.00643240838950286	0	0	0	0	0	0	0	0	0	0	0	0.000102644814726109	0	0	0	0	0	0	0	0	0	0	0.0015054572826496	0.000239504567694255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.42149382420365e-05	0	0	0	0	0	0	0	0.00106066308550313	0	0	0	0	0	0	0.000102644814726109	0	0	0	0	0	0	0	0	0	0	0	3.42149382420365e-05	0	0	0.000136859752968146	0	0	0	0	0	0.00116330790022924	0	0	0	0	0.000376364320662401	0	0	0	0	0	0	0	0	0	0	0.000513224073630547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.42149382420365e-05	0	0	0	0	0	0	0	0	0	0	0	0	6.84298764840729e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101276217196428
f103	0.0864505754908599	0.00016926201760325	0.370133716993907	0	8.46310088016249e-05	0	0.227953622207177	0	0.000296208530805687	0.0003385240352065	0	0	8.46310088016249e-05	4.23155044008125e-05	0	0	0	0	0	0	0	0	8.46310088016249e-05	0	0.107015910629655	0.113955653351388	0	0	0	0	0	4.23155044008125e-05	0	0	0	0.0126523358158429	0	4.23155044008125e-05	0.0311865267433988	0	4.23155044008125e-05	0	0	0.0003385240352065	0	0	0	0.000803994583615437	0	0	0	0	0	0	8.46310088016249e-05	0.00266587677725119	0	0.0144719025050779	0	0	0	0	0	0	0	0	0.00016926201760325	0	0	0	0	0	0	0	4.23155044008125e-05	0	0	0	0	0	0	0	0	0	0.00956330399458362	0	0.00050778605280975	0	4.23155044008125e-05	0	0	0	0	0	8.46310088016249e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.23155044008125e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.23155044008125e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.23155044008125e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.46310088016249e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000296208530805687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.23155044008125e-05	0.0200998645903859
